host, ip, mac, "os"
bondata2-drac.Stanford.EDU, 172.24.144.70, 00:15:C5:87:6B:5F, "Linux 2.6.9 - 2.6.26 (100%)"
lbre-vmh-vdr01-drac.Stanford.EDU, 172.24.144.87, 00:1C:23:B8:17:87, "Linux 2.4.18 - 2.4.32 (likely embedded) (100%)"
lbre-vmh01.Stanford.EDU, 172.24.144.126, 00:50:56:4E:AC:72, "Linux 2.6.21 (Arch Linux 0.8, x86) (96%) *OR* Linux 2.6.9 - 2.6.19 (96%) *OR* Linux 2.6.18-8.el5 (Red Hat Enterprise Linux 5) (96%) *OR* Linux 2.6.23 (95%) *OR* Adaptec Snap Server 520 NAS device, Fortinet FortiGate-60 firewall, Linksys NSLU2 NAS device running Unslung 5.8 (Linux 2.4.22), Netgear SPH200D VoIP phone, Secure Computing SnapGear SG565 firewall (Linux 2.4.31-uc0), or VMware ESX Enterprise Server 3.5 (95%) *OR* Linux 2.6.19 - 2.6.24 (Gentoo) (95%) *OR* T-Home Speedport W 501V WAP (95%) *OR* MikroTik RouterOS software router 3.0beta5 (94%) *OR* Linux 2.6.18 - 2.6.24 (94%) *OR* OpenWrt 0.9 - 7.09 (Linux 2.4.30 - 2.4.34) (94%)"
lbre-vmh02.Stanford.EDU, 172.24.144.127, 00:26:B9:2B:5F:70, ""
lbre-vmh03.Stanford.EDU, 172.24.144.128, 00:24:E8:80:84:AC, ""
lbre-vmh04.Stanford.EDU, 172.24.144.130, 00:0C:29:E6:B7:F2, "Microsoft Windows Server 2003 SP1 or SP2 (100%)"
lbre-esxi-vc1.Stanford.EDU, 172.24.144.131, 00:19:B9:F6:23:95, ""
lbre-vmh05.Stanford.EDU, 172.24.144.132, 00:24:E8:80:A3:38, ""
lbre-vmh06.Stanford.EDU, 172.24.144.133, 78:2B:CB:25:80:00, ""
lbre-vmh07.Stanford.EDU, 172.24.144.134, 78:2B:CB:2D:61:06, ""
lbre-vmh08.Stanford.EDU, 172.24.144.135, D4:AE:52:B5:84:C1, "FreeBSD 5.2.1-RELEASE (93%) *OR* FreeBSD 5.4 or 5.5 (x86) (93%) *OR* FreeNAS (FreeBSD 6.3-STABLE) (93%) *OR* FreeNAS 0.686 (FreeBSD 6.2-RELEASE) (93%) *OR* FreeBSD 5.1 (91%) *OR* FreeBSD 7.0-BETA4 - 7.0 (91%) *OR* FreeBSD 7.0-RELEASE-p1 - 7.0-STABLE (91%) *OR* FreeBSD 7.0-CURRENT (pre-release) (90%) *OR* FreeBSD 7.0-PRERELEASE (90%) *OR* FreeBSD 7.0-RELEASE-p2 (90%)"
lbre-archive-drac.Stanford.EDU, 172.24.144.139, 00:1C:23:B8:15:EC, "Linux 2.4.18 - 2.4.32 (likely embedded) (100%)"
lbre-vc2-drac.Stanford.EDU, 172.24.144.149, 90:B1:1C:46:96:9F, "Linux 2.6.9 - 2.6.26 (100%)"
